Siswa,Jawaban,Manual 1,Manual 2,Manual 3,Rata Manual
siswa_2 ,makanan 4 sehat 5 sempurna merupakan kebutuhan nutrisi untuk tubuh supaya tubuh sehat seimbang ,15.0,10.0,10.0,11.666666666666666
siswa_3 ,makanan dengan gizi yang seimbang dan cukup untuk tubuh ,17.0,15.0,25.0,19.0
siswa_4 ,Makanan yang mengandung unsur-unsur yang dibutuhkan oleh tubuh. ,12.0,8.0,10.0,10.0
siswa_6 ,makanan yang begisi dan memiliki banyak protein untuk kekebalan sistem inmun tubuh ,15.0,8.0,10.0,11.0
siswa_7 ,nasi. sayur. buah. susu. daging. telur. ,34.0,25.0,25.0,28.0
siswa_8 ,"karbohidrat,lemak,protein,telur,susu ",30.0,25.0,25.0,26.666666666666668
siswa_9 ,"karbohidrat,lemak,protein,telur,susu ",30.0,25.0,25.0,26.666666666666668
siswa_10 ,"makan makanan secara rutin dengan menggunakan nasi, lauk, sayur, buah dan susu yang bermanfaat untuk tubuh dan baik untuk proses pertumbuhan ",40.0,35.0,50.0,41.666666666666664
siswa_11 ,"makanan yang mencangkup karhohidrat, air, mineral, protein dan kalsium ",28.0,15.0,25.0,22.666666666666668
siswa_12 ,"makanan yang mengandung karbohidrat, protein, mineral, vitamin, dan lemak tak jenuh ",32.0,20.0,25.0,25.666666666666668
siswa_13 ,"nasi, susu, buah, sayur ,lauk pauk ",34.0,25.0,25.0,28.0
siswa_14 ,"4 makanan sehat mengandung karbohidrat, protein, vitamin, dan mineral. 5 sempurna adalah susu atau mengandung kalsium ",45.0,35.0,50.0,43.333333333333336
siswa_16 ,"Makanan yang mengandung 4 Makanan sehat yaitu Nasi, Sayur Mayur, Lauk Pauk, dan buah ,serta 5 Sempurna yaitu susu sebagai sumber kalsium bagi tubuh ",55.0,44.0,50.0,49.666666666666664
siswa_17 ,jjjjjj ,0.0,0.0,0.0,1.0
siswa_18 ,makan dan minum secukupnya ,5.0,5.0,10.0,6.666666666666667
siswa_19 ,makanan yang mengandung karbohidrat protein serat susu ,25.0,15.0,25.0,21.666666666666668
siswa_20 ,"makanan yang gizi dan asupanya diperlukan oleh tubuh yang mengandung serat,karbohidrat, protein, mineral, vitamin dan susu ",38.0,35.0,25.0,32.666666666666664
siswa_21 ,makanan yang mengandung karbohidrat protein vitamin serat dan mineral ,34.0,25.0,25.0,28.0
siswa_22 ,"makanan yang terdiri atau mengandung nutrisi seperti karbohidrat,protein,vitamin. Makanan itu terdiri dari nasi,ikan atau lauk pauk,sayur,susu serta buah-buahan ",65.0,55.0,50.0,56.666666666666664
siswa_23 ,makanan yang harus ada setiap hari ,10.0,5.0,10.0,8.333333333333334
siswa_24 ,"makanan yang sudah mengandung protein , karbohidrat, nutrisi , yang dibutuhkan oleh tubuh ",35.0,25.0,25.0,28.333333333333332
siswa_25 ,makanan yang dimasak oleh mama ,8.0,5.0,10.0,7.666666666666667
siswa_26 ,"makanan yang mengandung karbohidrat, protein, vitamin, kalsium, gizi ",32.0,25.0,25.0,27.333333333333332
siswa_31 ,"makanan yang mengandung nutrisi , protein dan lainya yang seimbang serta adanya susu ",27.0,20.0,25.0,24.0
siswa_28 ,"Makanan 4 sehat 5 sempurna adalah makanan yang mengandung karbohidrat, protein, dan vitamin yang diciptakan pada tahun1950-an oleh Prof.Poerwo Soedarmo yang sering disebut juga sebagai Bapak Gizi Indonesia. Slogan ""Empat Sehat Lima Sempurna ""berisikan lima kelompok makanan, yaitu: 1. Makanan Pokok Makanan utama berfungsi sebagai sumber tenaga bagi tubuh untuk dapat mampu malakukan aktifitas sehari-hari. Contohnya seperti nasi, jagung, oat, kentang, gandum / tepung terigu, serta umbi-umbian lainnya. 2. Lauk-Pauk Lauk pada makanan memiliki fungsi untuk memenuhi kebutuhan zat pembangun pada tubuh. Misalnya yaitu tempe, tahu, telur, daging, ikan, dan lain-lain. 3. Sayur-Mayur Sayur-sayuran pada makanan memiliki fungsi untuk memenuhi kebutuhan zat pengatur pada tubuh. Contoh : Kangkung, bayam, terong, tomat, cabe, kacang panjang, kol gepeng, labu siam, dan lain sebagainya. 4. Buah Mirip dengan sayur mayur, buah-buahan pada makanan memiliki fungsi untuk memenuhi kebutuhan zat pengatur pada tubuh. Contohnya yakni apel, manggis, markisa, kesemek, salak pondoh, duren, dan lain sebagainya. 5. Susu Susu sebagai pelengkap di mana tidak ada kewajiban atau keharusan kita untuk mengkonsumsi atau meminumnya. Namun tidak ada salahnya jika kita minum susu setelah makan, karena mengandung berbagai macam kandungan zat yang berguna dan baik bagi tubuh kita. ",40.0,35.0,50.0,41.666666666666664
siswa_33 ,4 sehat 5 Sempurna adalah - Makanan Pokok - Lauk Pauk - Buah-buahan - Sayuran - Susu ,44.0,30.0,50.0,41.333333333333336
siswa_34 ,"4 sehat adalah makanan yang mengandung nasi, sayur, buah, lauk, di lengkapi dengan susu menjadi 5 sempurna ",40.0,35.0,50.0,41.666666666666664
siswa_35 ,"Makanan empat sehat lima sempurna yakni makanan yang mengandung karbohidrat contohnya nasi atau gandum, protein contohnya ikan atau daging, vitamin contohnya buah - buahan, dan zat besi contohnya sayur - sayuran di tambah dengan susu ",36.0,30.0,25.0,30.333333333333332
siswa_36 ,"nasi, lauk, sayur, buah dan sayur ",30.0,40.0,25.0,31.666666666666668
siswa_37 ,"makanan dengan komposisi nasi, lauk, sayur mayur, buah dan susu. ",40.0,45.0,50.0,45.0
siswa_38 ,"Ada Sayur, Daging, Buah, Nasi, Susu. yang dapat membuat badan kita terasa sehat. ",36.0,40.0,50.0,42.0
siswa_39 ,"nasi, sayur, buah, daging, susu. ",30.0,30.0,25.0,28.333333333333332
siswa_40 ,memenuhi kebutuhan kecukupan gizi pada tubuh ,10.0,10.0,10.0,10.0
siswa_41 ,"makanan sehat yang mengandung 4 sumber nutrisi yaitu makanan pokok, lauk pauk, sayur - sayuran, buah - buahan dan disempurnakan oleh susu. makanan 4 sehat 5 sempurna adalah makanan yang mengandung karbohidrat, protein, mineral, vitamin, dan lemak tak jenuh. ",77.0,80.0,75.0,77.33333333333333
siswa_42 ,"Makanan 4 sehat 5 sempurna adalah makanan yang kandungan gizinya dibutuhkan oleh tubuh, seperti vitamin, mineral, karbohidrat dan lain-lain. ",50.0,65.0,50.0,55.0
siswa_43 ,"makanan yang mengandung nasi,sayur, buah, lauk-pauk, dan susu ",30.0,35.0,25.0,30.0
siswa_44 ,"makanan 4 sehat 5 sempurna yang menjelaskan kandungan gizi ideal manusia. Makanan 4 sehat terdiri nasi, lauk pauk, sayur-sayuran, dan buah-buahan 5 sempurnanya adalah susu. Nasi merupakan sumber karbohidrat, lauk pauk sebagai protein, sayuran minaral dan buaha-buahan sebagai vitamin. ",58.0,65.0,50.0,57.666666666666664
siswa_45 ,"4 sehat 5 sempurna merupakan makanan yang mengandung beberapa zat yang penting bagi tubuh yaitu karbohidrat, mineral, protein, vitamin dan lemak jenuh dalam jumlah yang tidak banyak. ",40.0,50.0,50.0,46.666666666666664
siswa_46 ,"makanan yang dapat menyehatkan tubuh dan mengandung banyak protein, mineral, nutrisi yang baik bagi tubuh kita. ",36.0,30.0,25.0,30.333333333333332
siswa_47 ,"Makanan 4 sehat 5 sempurna adalah konsep makanan sehat yang dikampanyekan pemerintah sejak tahun 1955. Dalam konsep 4 sehat 5 sempurna, makanan sehat adalah makanan yang mengandung 4 sumber nutrisi yaitu makanan pokok, lauk pauk, sayur-sayuran, buah-buahan, dan disempurnakan dengan susu. Jika dilihat dari kandungannya, makanan 4 sehat 5 sempurna adalah makanan yang mengandung karbohidrat, protein, mineral, vitamin, dan lemak tak jenuh. ",100.0,95.0,90.0,95.0
