Siswa,Jawaban,Manual 1,Manual 2,Manual 3,Rata Manual
siswa_1 ,PSSI adalah Persatuan Sepak Bola Seluruh Indonesia. Ketua Umum saat ini La Nyalla Mattalitti ,40.0,60.0,50.0,50.0
siswa_2 ,PSSI adalah Perstuan Sepak Bola Seluruh Indonesia ketua umumnya adalah La Nyalla Mahmud Matalitti ,40.0,60.0,50.0,50.0
siswa_3 ,pssi adalah persatuan sepak bola seluruh indonesia. pssi talah di bekukan oleh fifa ,30.0,25.0,25.0,26.666666666666668
siswa_4 ,PSSI merupakan Persatuan Sepakbola Seluruh Indonesia. Badan olahraga yang menaungi olahraga sepakbola seluruh Indonesia. ,35.0,40.0,50.0,41.666666666666664
siswa_6 ,persatuan sepak bola seluruh indonesia ,20.0,25.0,25.0,23.333333333333332
siswa_7 ,"Persatuan Sepak Bola Seluruh Indonesia, disingkat PSSI, adalah organisasi induk yang bertugas mengatur kegiatan olahraga sepak bola di Indonesia. PSSI berdiri pada tanggal 19 April 1930 dengan nama awal Persatuan Sepak Raga Seluruh Indonesia. Ketua umum pertamanya adalah Ir. Soeratin Sosrosoegondo.PSSI bergabung dengan FIFA pada tahun 1952, kemudian dengan AFC pada tahun 1954. PSSI menggelar kompetisi Liga Indonesia setiap tahunnya, dan sejak tahun 2005, diadakan pula Piala Indonesia. Ketua Umum PSSI sejak 18 April 2015 adalah La Nyalla Mattalitti. ",80.0,95.0,90.0,88.33333333333333
siswa_8 ,PSSI atau singkatan dari Persatuan Sepak bola Seluruh Indonesia adalah organisasi yang mengatur kegiatan olah raga sepak bola di indonesia. ketua umum PSSI saat ini adalah La Nyalla Mattalitti ,60.0,65.0,75.0,66.66666666666667
siswa_9 ,"Persatuan Sepak Bola Seluruh Indonesia, disingkat PSSI, adalah organisasi induk yang bertugas mengatur kegiatan olahraga sepak bola di Indonesia. PSSI berdiri pada tanggal 19 April 1930 dengan nama awal Persatuan Sepak Raga Seluruh Indonesia. Ketua umum pertamanya adalah Ir. Soeratin Sosrosoegondo. PSSI bergabung dengan FIFA pada tahun 1952, kemudian dengan AFC pada tahun 1954. PSSI menggelar kompetisi Liga Indonesia setiap tahunnya, dan sejak tahun 2005, diadakan pula Piala Indonesia. Ketua Umum PSSI sejak 18 April 2015 adalah La Nyalla Mattalitti. ",80.0,95.0,90.0,88.33333333333333
siswa_10 ,"Persatuan Sepak Bola Seluruh Indonesia, disingkat PSSI, adalah organisasi induk yang bertugas mengatur kegiatan olahraga sepak bola di Indonesia. PSSI berdiri pada tanggal 19 April 1930 dengan nama awal Persatuan Sepak Raga Seluruh Indonesia. Ketua umum pertamanya adalah Ir. Soeratin Sosrosoegondo. PSSI bergabung dengan FIFA pada tahun 1952, kemudian dengan AFC pada tahun 1954. PSSI menggelar kompetisi Liga Indonesia setiap tahunnya, dan sejak tahun 2005, diadakan pula Piala Indonesia ",70.0,85.0,75.0,76.66666666666667
siswa_11 ,"Persatuan Sepak Bola Seluruh Indonesia, disingkat PSSI, adalah organisasi induk yang bertugas mengatur kegiatan olahraga sepak bola di Indonesia. PSSI berdiri pada tanggal 19 April 1930 dengan nama awal Persatuan Sepak Raga Seluruh Indonesia. Ketua umum pertamanya adalah Ir. Soeratin Sosrosoegondo. PSSI bergabung dengan FIFA pada tahun 1952, kemudian dengan AFC pada tahun 1954. PSSI menggelar kompetisi Liga Indonesia setiap tahunnya, dan sejak tahun 2005, diadakan pula Piala Indonesia. Ketua Umum PSSI sejak 18 April 2015 adalah La Nyalla Mattalitti. ",80.0,95.0,90.0,88.33333333333333
siswa_12 ,"PSSI atau Persatuan Sepak bola Seluruh Indonesia adalah organisasi sepakbola indonesia yang mencakup seluruh wilayah indonesia. organisasi yang bergabung adalah tim tim yang ikut berpartisipasi dalam sepak bola di indonesia misalnya AREMA, PERSIJA, SRIWIJAYA dan lain lain. Ketua umum PSSI saat ini adalah La Nyalla Matalitti ",50.0,70.0,75.0,65.0
siswa_16 ,Organisasi sepakbola indonesia ,20.0,10.0,10.0,13.333333333333334
