Siswa,Jawaban,Manual 1,Manual 2,Manual 3,Rata Manual
siswa_1 ,Kerajaan Majapahit merupakan kerajaan agama Hindu. Puncak kejayaan pada masa Patih Gajahmada ,35.0,30.0,25.0,30.0
siswa_2 ,kerajaan majapahit merupakan kerjaan bercorak hindu terbesar di Indonesia. Pusat kekuasaannya di Kediri ,38.0,40.0,50.0,42.666666666666664
siswa_3 ,kerajaan majapahit berpusat di jawa timur indonesia. yang dikuasi oleh raja hayam wuruk. kerajaan majapahit merupakan kerajaan hindu-budha ,90.0,60.0,75.0,75.0
siswa_4 ,Berpusat di Jawa Timur. Masa puncak kejayaan pada masa pemerintahan Hayamwuruk dengan agama yang di anut Hindu. ,85.0,70.0,75.0,76.66666666666667
siswa_6 ,kerajaan di jawa timur ,18.0,10.0,10.0,12.666666666666666
siswa_7 ,"Majapahit adalah sebuah kerajaan yang berpusat di Jawa Timur, Indonesia, yang pernah berdiri dari sekitar tahun 1293 hingga 1500 M. Kerajaan ini mencapai puncak kejayaannya menjadi kemaharajaan raya yang menguasai wilayah yang luas di Nusantara pada masa kekuasaan Hayam Wuruk, yang berkuasa dari tahun 1350 hingga 1389. Kerajaan Majapahit adalah kerajaan Hindu-Buddha terakhir yang menguasai Nusantara dan dianggap sebagai salah satu dari negara terbesar dalam sejarah Indonesia.[2] Menurut Negarakertagama, kekuasaannya terbentang di Jawa, Sumatra, Semenanjung Malaya, Kalimantan, hingga Indonesia timur, meskipun wilayah kekuasaannya masih diperdebatkan. ",80.0,76.0,75.0,77.0
siswa_8 ,majapahit merupakan kerajaan yang beridiri tahun 1293 - 2000 Masehi dan berpusat di Jawa Timur. kerajaan ini mencapai puncak kejayaan pada masa pemerintahan hayam wuruk dan menjadi kemaharajaan yang menguasai sebagian besar wilayah nusantara ,60.0,60.0,50.0,56.666666666666664
siswa_9 ,"Majapahit adalah sebuah kerajaan yang berpusat di Jawa Timur, Indonesia, yang pernah berdiri dari sekitar tahun 1293 hingga 1500 M. Kerajaan ini mencapai puncak kejayaannya menjadi kemaharajaan raya yang menguasai wilayah yang luas nusatara pada masa kekuasaan Hayam wuruk, yang berkuasa dari tahun 1350 hingga 1389. Kerajaan Majapahit adalah kerajaan Hindu-Buddha terakhir yang menguasai Nusantara dan dianggap sebagai negara terbesar ",88.0,82.0,90.0,86.66666666666667
siswa_10 ,"Majapahit adalah sebuah kerajaan yang berpusat di Jawa Timur, Indonesia, yang pernah berdiri dari sekitar tahun 1293 hingga 1500 M. Kerajaan ini mencapai puncak kejayaannya menjadi kemaharajaan raya yang menguasai wilayah yang luas di Nusantara pada masa kekuasaan Hayam Wuruk, yang berkuasa dari tahun 1350 hingga 1389. Kerajaan Majapahit adalah kerajaan Hindu-Buddha terakhir yang menguasai Nusantara dan dianggap sebagai salah satu dari negara terbesar dalam sejarah Indonesia. Menurut Negarakertagama, kekuasaannya terbentang di Jawa, Sumatra, Semenanjung Malaya, Kalimantan, hingga Indonesia timur, meskipun wilayah kekuasaannya masih diperdebatkan. ",84.0,85.0,90.0,86.33333333333333
siswa_11 ,"majapahit adalah sebuah kerajaan yang berpusat di Jawa Timur yang pernah berdiri dari sekitar tahun 1293 hingga 1500 M. kerajaan ini mencapai puncak kejayaannya menjadi kemaharajaan raya yang menguasai wilayah yang luas di nusantara pada masa kekuasaan hayam wuruk, yang berkuasa dari tahun 1350 hingga 1389. ",62.0,70.0,75.0,69.0
