Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
bangsa indonesia kemerdekaannya halhal pemindahan kekuasaan lainlain selenggarakan seksama tempo sesingkatsingkatnya,60.0,80.0,75.0,71.66666666666667
bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan lainlain diselenggrakan seksama tempo sesingkatsingkatnya,60.0,80.0,75.0,71.66666666666667
segenap bangsa indonesia kemerdekaan,25.0,20.0,25.0,23.333333333333332
bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan diselenggarakan seksama tempo sesingkat singkatnya,60.0,80.0,75.0,71.66666666666667
bangsa indonesia kemerdekaan indonesia sesingkatsingkatnya,40.0,35.0,50.0,41.666666666666664
bangsa indonesia menjatakan kemerdekaan indonesia halhal jang pemindahan kekoeasaan dll diselenggarakan tjara seksama tempo jang sesingkatsingkatnja djakarta 17 boelan 8 tahoen 05 nama bangsa indonesia soekarnohatta,70.0,95.0,90.0,85.0
bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan dll diselenggarakan seksama tempo sesingkatsingkatnya jakarta 17 8 1945 nama bangsa indonesia soekarno hatta,73.0,98.0,90.0,87.0
proklamasi bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan lainlain diselenggarakan saksama tempo sesingkatsingkatnya djakarta 17 agustus 1945 nama bangsa indonesia sukarnohatta,86.0,100.0,90.0,92.0
proklamasi bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan dll diselenggarakan seksama tempo sesingkatsingkatnya jakarta 17 agustus 1945 soekarno hatta,73.0,90.0,90.0,84.33333333333333
proklamasi bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan dlldiselenggarakan seksama tempo sesingkatsingkatnya,60.0,76.0,75.0,70.33333333333333
bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan lainlain diselenggarakan seksama tempo sesingkatsingkatnya,56.0,67.0,75.0,66.0
indonesia merdeka,15.0,15.0,10.0,13.333333333333334
bangsa indonesia kemerdekaannya halhal berkaitan bangsa negara tempo sesingkatsingkatnya,50.0,40.0,50.0,46.666666666666664
bangsa indonesia kemerdekaanya pemindahan kekuasaan diselenggarakan seksama tempo sesingkat singkatnya,60.0,75.0,75.0,70.0
bangsa kemerdekaan indonesia halhal pemindahan kekuasaan lainlain diselenggarakan seksama tempo segingkat singkatnya,54.0,69.0,75.0,66.0
proklamasi bangsa indonesia kemerdekaan indonesia pemindahan kekuasaan diselenggarakan seksama tempo sesingkat singkatnya,60.0,75.0,75.0,70.0
proklamasi bangsa indonesia kemerdekaannya pemindahan kekuasaan lainlain diselenggarakan seksama tempo sesingkat singkatnya jakarta17 agustus 1945 nama bangsa indonesia,78.0,92.0,90.0,86.66666666666667
proklamasi bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan diselenggaarakan seksama tempoh sesingkatsingkatnya,60.0,75.0,75.0,70.0
proklamasi bangsa indonesia kemerdekaan indonesia pemindahan kekuasaan seksama sesingkat singkatnya,56.0,64.0,75.0,65.0
putra putri bangsa indonesia,10.0,5.0,10.0,8.333333333333334
proklamasi bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan dll diselenggarakan seksama tempo sesingkatsingkatnya,60.0,60.0,50.0,56.666666666666664
bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan diselenggarakan seksama tempo sesingkatsingkatnya,60.0,60.0,50.0,56.666666666666664
proklamasi bangsa indonesia menyatakaan kemerdekaan indonesia halhal pemindahan kekuasaan lainlain diselenggarakan seksama tempo sesingkatsingkatnya jakarta 17 agustus 1995 soekarnohatta,73.0,80.0,75.0,76.0
proklamasi bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan lainlain diselenggarakan seksama tempo sesingkatsingkatnya soekarnohatta jakarta17 agustus 1945,73.0,82.0,75.0,76.66666666666667
proklamasi bangsa indonesia kemerdekaan indonesia pemindahan kekuasaan diselenggarakan seksama tempo sesingkat singkatnya soekarno hatta jakarta 17 agustus 1945,73.0,84.0,75.0,77.33333333333333
bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan dlldi selenggarakan seksama temppo sesingkat singkatnya,60.0,76.0,75.0,70.33333333333333
bangsa indonesia kemerdekaan indonesia pemindahan kekuasaan dll diselenggarakan seksama tempo sesingkat singkatnya,55.0,67.0,75.0,65.66666666666667
proklamasi bagsa indonesia kemerdekaan urusan diurus secepatnya,30.0,30.0,25.0,28.333333333333332
bangsa indonesia kemerdekaan pemindahan kekuasaan seksama tempo sesingkat singkatnya jakarta 17 agustus 1945 nama bangsa indonesia soekarnohatta,70.0,89.0,75.0,78.0
proklamasi bangsa indonesia kemerdekaan indonesia halhal memindai kekuasaan diselesaikan segsama tempo sesingkatsingkatnya jakarta 17 agustus 1945,73.0,93.0,75.0,80.33333333333333
proklamasi bangsa indonesia kemerdekaan indonesia pemindahan kekuasaan diselenggarakan seksama tempo sesingkat singkatnya jakarta 17 08 1945 wakil wakil bangsa indonesia,90.0,100.0,90.0,93.33333333333333
bangsa indonesia kemerdekaan indonesia halhal pemindahan kekuasaan lainlain diselenggarakan seksama tempo sesingkatsingkatnya,60.0,76.0,75.0,70.33333333333333
proklamasi bangsa indonesia kemerdekaan,30.0,27.0,25.0,27.333333333333332
bangsa indonesia kemerdekaanya berkaitan pemindahan kekuasaan diselenggarakan seksama tempo sesingkat singkatnya,60.0,75.0,75.0,70.0
