Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
recycle mendaur ulang mengolah barang dimanfaatkan reuse material bahan layak dipakai reduce konsep pengurangan mengurangi pemakaian material dianggap mengurangi produksi sampah menyebabkan konsupsi berlebih,25.0,35.0,25.0,28.333333333333332
menerapkan program extended producer responsibility epr program dimana produser bertanggung mengambil take back produkproduk terpakai,20.0,28.0,25.0,24.333333333333332
daur ulang memanfaatkan pakai pendam,15.0,10.0,10.0,11.666666666666666
1 mendaur ulang 2 mengubah kerajinan tangan 3 memanfaatkan sparepart,17.0,26.0,25.0,22.666666666666668
dibuang tempatnya,8.0,5.0,10.0,7.666666666666667
komposisi material produk elektronik simpulkan nilai ekonomisnya material didaur ulang plastik menghasilkan bahan baku plastik diolah menghasilkan bahan bakar setara bensin solar aneka logam besi tembaga aluminium bernilai ekonomis dimanfaatkan logam bernilai perak emas menjadikan daur ulang menjanjikan depannya,40.0,55.0,50.0,48.333333333333336
meningkatkan umur produk mendaur ulang produk terpakai mengekspor negara maju dikembangkan,20.0,30.0,25.0,25.0
masyarakat menjual sampahnya ecocash petugas rumah pengguna jasa mengambil perangkat elektronik bekas lantas membayarnya perangkat rusak mati harganya layanan penjemputan sampah elektronik gratis wilayah jakarta tangerang daerah jabodetabek dilayani dikenai tarif tambahan pengambilan barang perangkat elektronik salurkan dipilah didaur ulang peran membantu orangorang meneruskan sampah elektronik pihakpihak mengelolanya amrit gurbani cofounder pt mitra kersa artha kantornya jumat 37 menyerahkan limbah elektronik mengolahnya salah tempuh mengatasi menumpuknya sampah elektronik mempertimbangkan masakmasak membeli perangkat elektronik berharap perusahaan elektronik bertanggung mengelola produknya negara sistem terintegrasi mengelola sampah,30.0,40.0,50.0,40.0
sampah elektronik terkelola menimbulkan komponenkomponennya mengandung bahan berbahaya beracun b3 circuit board komputer mengandung logamlogam berat timah krom besi timbal perak tembaga komponen televisi monitor komputer bekas mengandung timah kadmium merkuri limbahlimbah ditangani polutan air tanah udara berpengaruh buruk kesehatan orangorang,20.0,30.0,25.0,25.0
recycle e waste mengurangi penggunaan alat elektronik alat listrik,8.0,10.0,10.0,9.333333333333334
olah barang berguna,15.0,15.0,10.0,13.333333333333334
pelelehan barang elektronik daur ulang upgreade bahan layak layak,16.0,20.0,25.0,20.333333333333332
1 mendaur ulang sampah elektronik 2 mengurangi penggunaan sampah elektronik,25.0,30.0,25.0,26.666666666666668
dibuar kerajinan dikubur disimpan,8.0,10.0,10.0,9.333333333333334
mendaur ulang dipakai membuang pembuangan memanfaatkan dipakai,20.0,20.0,25.0,21.666666666666668
melebur bahan bekas bahan mentah mengambil spare part barang dipasang perangkat daur ulang,18.0,25.0,25.0,22.666666666666668
daur ulang,12.0,10.0,10.0,10.666666666666666
menghancurkannya alat berat,5.0,5.0,10.0,6.666666666666667
membuang tempatnya,8.0,5.0,10.0,7.666666666666667
reduce reuse recycle,8.0,10.0,10.0,9.333333333333334
pengumpulan sampah elektronik dipilah didaur ulang,20.0,25.0,25.0,23.333333333333332
salurkan sampah elektronik daur ulang sampah elektronik menyimpannya rumah,20.0,25.0,25.0,23.333333333333332
merefresh scan mengistall ulang merepair maintenance,8.0,5.0,10.0,7.666666666666667
mendaur ulang,12.0,10.0,10.0,10.666666666666666
recycle reuse refuse,7.0,10.0,10.0,9.0
dihapus diolah diasingkan adblock,8.0,10.0,10.0,9.333333333333334
membersihkan mengandung spam scanning data komputer rutin defragment,0.0,5.0,10.0,5.0
perhatian instansi terkait pengelola limbah membangun sistem database medata volume limnbah mendorong kepeduliuan,8.0,10.0,10.0,9.333333333333334
,0.0,0.0,0.0,1.0
dibakar didaur ulang,12.0,10.0,10.0,10.666666666666666
scaning software,0.0,0.0,0.0,1.0
buku ewaste sampah elektronik 2015 penulis rafa jafar tips memperlakukan barang bekas ewaste dropbox langkah mengurangi sampah elektronik jual membawa tukang servis orang membutuhkan dikumpulkan pengolah ewaste,23.0,30.0,25.0,26.0
mendorong kepedulian mendukung pelaksanaan mekanisme epr mekanisme insentif membangun sistem database mendata volume limbah elektronik daftar industri rekondisi daftar industri pengolah limbah kebijakan peranan pertumbuhan industri rekondisi memberlakukan standar produk refurbish informasi sektor informal bahaya penanganan ewaste terkontrol pengelolaan limbah b3 kegiatan elektronik ketiga izin klh,16.0,20.0,25.0,20.333333333333332
mendaur ulang sampah elektronik bakar sampah elektronik bakar olah,28.0,35.0,25.0,29.333333333333332
mendaur ulang sampah memanfaatkan bahan yg,20.0,20.0,25.0,21.666666666666668
didaur ulang,12.0,12.0,10.0,11.333333333333334
penjualan barang elektronik melonjak dekade negaranegara berkembang 10 meningkatnya penjualan berdampak penumpukan sampah elektronik membahayakan lingkungan kesehatan manusia,17.0,25.0,25.0,22.333333333333332
daur ulang dimanfaatkan benda bermanfaat,26.0,25.0,25.0,25.333333333333332
barang bijak,16.0,14.0,10.0,13.333333333333334
delete bokir,0.0,2.0,0.0,0.6666666666666666
menghapus sampah elektronik memblokir sampah elektronik sampah elektronik,18.0,20.0,25.0,21.0
hapusblokir,0.0,0.0,0.0,1.0
daur ulang daur ulang daur ulang,12.0,10.0,10.0,10.666666666666666
disimpan daur ulang dijadikan pajangan,12.0,15.0,10.0,12.333333333333334
antivirus pembersihan data,5.0,5.0,10.0,6.666666666666667
pembersihan berkala memiliki aplikasi penghapus spam menginstall,8.0,5.0,10.0,7.666666666666667
daur ulang produk dilebur dijadikan bahan campuran,15.0,20.0,25.0,20.0
memisahkan sampah basah sampah kering sampah elektronik meningkatkan kreatifitas mengelola sampah elektronik membuang sampah lektronik sembarangan,40.0,40.0,50.0,43.333333333333336
mendaur ulang memisahkan bahanbahan berbahaya beracun b3,38.0,35.0,25.0,32.666666666666664
lenyapkan,0.0,0.0,0.0,1.0
tingkatkan keamanan perbaiki sistem berkala bersihkan virus,5.0,5.0,10.0,6.666666666666667
