Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
1 memperhatikan uang di dompet 2 membeli barang secukupnya 3 mencatat barang-barang yang mau di beli 4 membeli barang yang harga murah 5 menuju tempat penjual yang dekat 6 menghindari tempat yang rame ,30.0,35.0,25.0,30.0
1. beli yang anda butuhkan dan bukan yang anda inginkan. 2. berfikir dengan bijak. 3. menyiapkan anggaran untuk belanja. 4. tidak membeli barang yang sama. 5. mencari harga yang sesuai dengan kondisi barang 6. mencatat barang yang akan dibeli ,45.0,55.0,50.0,50.0
1. mencatat list barang yang akan di beli. 2. mempersiapkan budget. 3. pilih departement store dengan harga yang paling murah. 4. sesuaikan belanjaan dengan dengan kebutuhan. 5. jika bisa belanjalah dengan orang lain. 6. siapkan uang ekstra jika ada kebutuhan di luar dugaan. ,40.0,50.0,50.0,46.666666666666664
"membeli secukupnya, ke tempat yang murah, membuat daftar belanjaan, mengajak orang bijak, selalu hidup irit, melihat lurus ",30.0,25.0,25.0,26.666666666666668
mencari departement store yang sedang mengadakan diskon. belanja ketika benar-benar membutuhkan barang yang akan dibeli. belanja ke tempat yang murah dengan kualitas yang bagus. tidak berbelanja barang- barang yang tidak dibutuhkan. mengutamakan kebutuhan dibandingkan keinginan dalam berbelanja. tidak mudah tergoda dengan aneka barang yang tidak dibutuhkan. ,60.0,45.0,50.0,51.666666666666664
"jangan terlalu menghabiskan uang untuk satu barang,belanjalah jika ada banyak diskon,belanja seperlunya dan direncanakan ingin belanja apa saja,hemat,jangan belanja tergantung pada satu toko saja. ",35.0,30.0,25.0,30.0
"jangan terlalu menghabiskan uang untuk satu barang,belanjalah jika ada banyak diskon,belanja seperlunya dan direncanakan ingin belanja apa saja,hemat,jangan belanja tergantung pada satu toko saja. ",35.0,30.0,25.0,30.0
"belanja saat perut kenyang, membawa daftar belanja, membeli berdasarkan kebutuhan, membeli dengan harga murah dan berkualitas, membawa kantong plastik, belanja tidak berdasar nafsu pribadi ",40.0,35.0,50.0,41.666666666666664
"membawa daftar belanjaan, belanja saat perut kenyang, belanja saat banyak diskon, pilih mall yang dijamin tidak terlalu mahal, berusaha untuk tidak lapar mata, dan belanja dengan orang yang hemat. ",38.0,35.0,25.0,32.666666666666664
"1.buatlah list barang apa saja yang harus anda beli. letakkan daftar barang yang paling primer (paling anda butuhkan) hingga kebutuhan sekunder di paling bawah. 2.kalau anda sudah memiliki anak, utamakan kebutuhan anak anda terlebih dahulu. terlebih susu dan popok bayi kalau buah hati anda masih kecil. 3.bandingkan dulu komposisi, kualitas, dan kuantitas barang sebelum anda beli. tidak perlu malu untuk menghabiskan beberapa detik di rak untuk membandingkan. jangan mudah tergiur barang-barang diskon. hitunglah keuangan anda dengan teliti dan sesuaikan dengan kebutuhan anda. kalau 4.anda masih punya stok barang tersebut di rumah, dan harga barang tersebut sangat miring, tempatkan barang tersebut di list belanja paling akhir. kalau memang anda memiliki budget lebih, ya ambil saja barang tersebut ladies. 5.pilihlah mana barang yang yang bisa dibeli secara grosir atau eceran. pilihlah sesuai usia pemakaian barang. dengan begini anda tidak perlu membeli barang kebutuhan dalam jumlah besar namun ternyata mubazir karena tak terpakai. 6.selalu bawa catatan dan bolpen di samping anda, dengan begini anda bisa memberi harga pada setiap barang yang anda beli. cara ini bisa digunakan untuk menghindari kecurangan toko dan anda pun dapat memperkirakan budget yang harus anda keluarkan. ",88.0,95.0,90.0,91.0
meneliti apa yang dibutuhkan ,8.0,5.0,10.0,7.666666666666667
1 cari yang dibutuhkan 2 cari yang paling lengkap 3 cari yang harganya murah 4 cari alternatif 5 cari di toko lain 6 cari di kota lain ,15.0,24.0,25.0,21.333333333333332
1) belanja online di bukalapak.com 2) belanja online di tokopedia.com 3) belanja online di lazada.com 4) belanja dengan cara menyertakan perantara 5) jangan mau jika disuruh transfer terlebih dahulu 6) pastikan penjual memiliki info pribadi yang jelas dan lengkap ,12.0,8.0,10.0,10.0
"belanja di lazada,tokopedia,mempertimbangkan harga ",10.0,8.0,10.0,9.333333333333334
"membawa uang yang lebih, usahakan uang cash, membeli seperlunya atau yang dibutuhkan saja, cari yang murah jika perlu, cari tempat yang umum atau pasar loak. ",14.0,15.0,10.0,13.0
membawa kantong keresek sendiri membeli sesuai kebutuhan membeli barang yang murah ,16.0,10.0,10.0,12.0
"membeli diskonan, membeli yang diperlukan, membeli sebisanya, membeli sesuai keuangan, membeli di pasar ",18.0,15.0,10.0,14.333333333333334
"melihat harga, melihat budget, membeli barang di pasar loak ,melihat tanggal kadaluarsa , ",20.0,15.0,10.0,15.0
"melihat daftar harga,menghitung budget,memperhitungkan jarak tempu,memperhitungkan waktu tempuh,tawar menawar,lihat tangga kadaluarsa ",22.0,18.0,25.0,21.666666666666668
1. meninimalis uang yang ada 2. menahan barang yang tidak perlu 3. belanja secukupnya 4. cari harga yang murah dan kualitas yang baik 5. mencari diskon yang perlu 6. hemat ,30.0,25.0,25.0,26.666666666666668
"shooping dengan online yang recomended , ",10.0,5.0,10.0,8.333333333333334
belanja di pasar belanja di toko belanja online belanja di swalayan belanja di alfamart belanja di indomart ,12.0,8.0,10.0,10.0
1. belanja yang sedang di butuhkan 2. tidak belanja yang di inginkan 3. manfaatkan diskon yang ada di mall 4. hemat 5. memilih harga yang murah 7. memilih mall/toko yang dekat dari rumah ,28.0,25.0,25.0,26.0
"shooping online , cari diskonan ",10.0,5.0,10.0,8.333333333333334
"buatlah list barang apa saja yang harus anda beli. letakkan daftar barang yang paling primer (paling anda butuhkan) hingga kebutuhan sekunder di paling bawah. kalau anda sudah memiliki anak, utamakan kebutuhan anak anda terlebih dahulu. terlebih susu dan popok bayi kalau buah hati anda masih kecil. bandingkan dulu komposisi, kualitas, dan kuantitas barang sebelum anda beli. tidak perlu malu untuk menghabiskan beberapa detik di rak untuk membandingkan. jangan mudah tergiur barang-barang diskon. hitunglah keuangan anda dengan teliti dan sesuaikan dengan kebutuhan anda. kalau anda masih punya stok barang tersebut di rumah, dan harga barang tersebut sangat miring, tempatkan barang tersebut di list belanja paling akhir. kalau memang anda memiliki budget lebih, ya ambil saja barang tersebut ladies. pilihlah mana barang yang yang bisa dibeli secara grosir atau eceran. pilihlah sesuai usia pemakaian barang. dengan begini anda tidak perlu membeli barang kebutuhan dalam jumlah besar namun ternyata mubazir karena tak terpakai. selalu bawa catatan dan bolpen di samping anda, dengan begini anda bisa memberi harga pada setiap barang yang anda beli. cara ini bisa digunakan untuk menghindari kecurangan toko dan anda pun dapat memperkirakan budget yang harus anda keluarkan. ",70.0,55.0,80.0,68.33333333333333
- membuat list barang belanjaan - mengutamakan kebutuhan premier - membandingkan kualitas barang sebelum memutuskan untuk membeli - jangan mudah tergiur barang-barang diskon - lihat harga barang sesuai budget,50.0,40.0,50.0,46.666666666666664
