Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
"tunggal putra, tunggal putri, ganda putra, ganda putri dan ganda campuran ",100.0,100.0,100.0,100.0
"-ganda putra, -ganda putri, -ganda campuran, -single putra, -single putri ",90.0,90.0,90.0,90.0
"ganda putra/putri, ganda campuran,single putra/putri, ",70.0,90.0,90.0,83.33333333333333
1. tunggal putra. 2. tunggal putri. 3. ganda putra. 4. ganda putri. 5. ganda campuran. ,90.0,100.0,90.0,93.33333333333333
"gerindra , hanura ",0.0,0.0,0.0,1.0
"tunggal putra, tunggal putri, ganda putra, ganda putri, ganda campuran. ",100.0,100.0,100.0,100.0
"ganda campuran, tunggal putra, tunggal putri, ganda putri, ganda putra ",100.0,100.0,100.0,100.0
"1. tunggal putra pada partai tunggal putra di mainakan oleh dua tim putra yang masing-masing memiliki daerah pertahanan. seorang pria akan bertanding melawan pria lainnya. beberapa pemain tunggal putra yang berprestasi di antaranya: rudy hartono, liem swie king, alan budikusuma, haryanto arbi dan taufik hidayat. 2. tunggal putri nomor ini di pertandingkan oleh dua orang wanita yang saling berhadapan satu sama lain. salah satu pemain tunggal putrid yang melegenda dan pernah berjaya di indonesia adalah susi susanti. 3. ganda putra ganda putra merupakan nomor atau partai berpasangan yang dimainkan oleh dua orang pria akan berhadapan dengan dua pria pada tim yang lainnya. jadi dalam nomor ganda, akan ada empat orang yang bermain di lapangan. partai ganda putra merupakan salah satu partai yang andalan bagi indonesia. tidak seperti partai tunggal, partai ganda selalu dijadikan sebagai tumpuan harapan di setiap turnamen bulutangkis. beberapa pemain ganda putra dari indonesai yang berprestasi di antaranya ada rexy mainaky dan ricky subagja, untuk saat ini partai ganda putra indonesia yang masih bertahan sebagai juara dunia adalah pasangan dalah hendra setiawan dan muhammad ahsan. 4. ganda putri partai ganda putri di mainkan berpasangan oleh dua orang wanita melawan dua wanita dari tim lainnya. indonesia memang tidak begitu menonjol pada nomor ini, akan tetapi indonesia memiliki beberapa pemain ganda purti yang cukup di takuti lawan seperti lilyana natsir dan vita marissa. untuk saat ini, paratai ganda putri terbaik yang dimiliki indonesia adalah pasangan greysia poli dan nitya krishinda. 5. ganda campuran partai ini dimainkan secara berpasangan oleh seorang wanita dan pria untuk melawan pasangan pria dan wanita alam tim lainnya. untuk pasangan ganda campuran terbaik yang pernah dimiliki indonesia adalah pasangan christian hadinata dan ivana lie. sementara saat ini pemain ganda campuran terbaik adalah tantowi ahmad dan lilyana natsir, yang berada di peringkat 4 dunia. ",60.0,70.0,75.0,68.33333333333333
- tunggal putra -tunggal putri -ganda putra -ganda putri -ganda campuran,100.0,100.0,100.0,100.0
1. tunggal putra 2. tunggal putri 3. ganda putra 4. ganda putri 5. ganda campuran ,90.0,100.0,100.0,96.66666666666667
"tunggal putra, tunggal putri, ganda putra, ganda putri, ganda campuran ",100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran ,100.0,100.0,100.0,100.0
"indonesia, china, thailand, philipina, amerika. ",0.0,0.0,0.0,1.0
1. partai tunggal putra 2. partai tunggal putri 3. partai ganda putra 4. partai ganda putri 5. partai ganda campuran ,80.0,100.0,100.0,93.33333333333333
"ganda putri , ganda putra , campuran , tunggal putri , tunggal putra ",95.0,100.0,100.0,98.33333333333333
"tunggal putra, tunggal putri, ganda putra, ganda putri, campuran ",95.0,100.0,100.0,98.33333333333333
-tunggal putera -tunggal putri -ganda putra -ganda putri -ganda campuran,95.0,100.0,100.0,98.33333333333333
"tunggal putra, tunggal putri, ganda putra, ganda putri, campuran ",95.0,100.0,100.0,98.33333333333333
1. tunggal putra 2. tunggal putri 3. ganda putra 4. ganda putri 5. ganda campuran ,90.0,100.0,100.0,96.66666666666667
gerindra demokrat ,0.0,0.0,0.0,1.0
tunggal putra. tunggal putri. ganda putra. ganda putri. ganda campuran. ,100.0,100.0,100.0,100.0
-tunggal putra -tunggal putri -ganda putra -ganda putri -ganda campuran,100.0,100.0,100.0,100.0
"tunggal putra, tunggal putri, ganda putra, ganda putri, ganda campuran. ",100.0,100.0,100.0,100.0
"ganda putri, ganda putra, ganda campuran, tunggal putri, tunggal putra ",100.0,100.0,100.0,100.0
"tunggal putra, tunggal putri, ganda putra, ganda putri, ganda campuran ",100.0,100.0,100.0,100.0
"tunggal putra, tunggal putri, ganda putra, ganda putri, ganda campuran. ",100.0,100.0,100.0,100.0
"golkar, pdip, demokrat, hanura, independen ",0.0,0.0,0.0,1.0
"tunggal putra, tunggal putri, ganda putra, ganda putri, ganda campuran. ",100.0,100.0,100.0,100.0
- indonesia open series - singapura open series - thomas cup - uber cup - pb jarum,0.0,0.0,0.0,1.0
- ganda putra - ganda putri - ganda campuran - tunggal putra - tungal putri,100.0,100.0,100.0,100.0
-tunggal putra -tunggal putri -ganda putra -ganda putri -ganda campuran,100.0,100.0,100.0,100.0
"tunggal putra, tunggal putri, ganda putra, ganda putri, ganda campuran ",100.0,100.0,100.0,100.0
"ada lima partai yang biasa dimainkan dalam bulu tangkis, yaitu: - tunggal putra - tunggal putri - ganda putra - ganda putri - ganda campuran ",85.0,100.0,100.0,95.0
- tunggal putra - tunggal putri - ganda putra - ganda putri - ganda campuran,100.0,100.0,100.0,100.0
-tunggal putra -tunggal putra -ganda putra -ganda putri -ganda campuran,100.0,100.0,100.0,100.0
- tunggal putra - tunggal putri - ganda putra - ganda putri - ganda campuran,100.0,100.0,100.0,100.0
- putra tunggal - putri tunggal - ganda putra - ganda putri - ganda campuran,100.0,100.0,100.0,100.0
- tunggal putra - tunggal putri - ganda putra - ganda putri - ganda campuran,100.0,100.0,100.0,100.0
-tunggal putra -tunggal putri -ganda putra -ganda putri -ganda campuran,100.0,100.0,100.0,100.0
"tunggal putra, tunggal putri, ganda campuran, ganda putra, ganda putri ",100.0,100.0,100.0,100.0
"nankatsu, rakuzan, inazuma, toho, karasuno ",0.0,0.0,0.0,1.0
"tunggal putri, tunggal putra, ganda campuran, ganda putra, ganda putri. ",100.0,100.0,100.0,100.0
"tunggal putra, tunggal putri, ganda putra, ganda putri, dan ganda campuran ",100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran ,100.0,100.0,100.0,100.0
- ganda putra - ganda putri - tunggal putra - tunggal putri - ganda campuran,100.0,100.0,100.0,100.0
"tunggal putra , tunggal putri , ganda campuran , ganda putri , ganda putra ",100.0,100.0,100.0,100.0
tunggal putri. tunggal putra. ganda putra. ganda putri. ganda campuran ,100.0,100.0,100.0,100.0
"pantai kute, pantai bedugul, pantai tiga warna ",0.0,0.0,0.0,1.0
"tunggal putra, tunggal putri, ganda putra, ganda putri dan ganda campuran ",100.0,100.0,100.0,100.0
1. djarum 2. pertamina 3. honda 4. iklan 5. polinema ,0.0,0.0,0.0,1.0
-ganda putra -ganda putri -ganda campuran -putra -putri,80.0,80.0,75.0,78.33333333333333
