Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
kami bangsa indonesia dengan ini menyatakan kemerdekaannya. hal-hal yang mengenai pemindahan kekuasaan dan lain-lain di selenggarakan dengan cara seksama dan dengan tempo yang sesingkat-singkatnya ,60.0,80.0,75.0,71.66666666666667
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dan lain-lain. diselenggrakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya ,60.0,80.0,75.0,71.66666666666667
kami segenap bangsa indonesia menyatakan kemerdekaan ,25.0,20.0,25.0,23.333333333333332
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dan lain lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya. ,60.0,80.0,75.0,71.66666666666667
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia sesingkat-singkatnya ,40.0,35.0,50.0,41.666666666666664
"kami bangsa indonesia dengan ini menjatakan kemerdekaan indonesia. hal-hal jang mengenai pemindahan kekoeasaan d.l.l. diselenggarakan dengan tjara seksama dan dalam tempo jang sesingkat-singkatnja. djakarta, hari 17 boelan 8 tahoen 05 atas nama bangsa indonesia. soekarno/hatta. ",70.0,95.0,90.0,85.0
"kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dll, diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. jakarta, hari 17 bulan 8 tahun 1945 atas nama bangsa indonesia soekarno hatta ",73.0,98.0,90.0,87.0
"proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dan lain-lain diselenggarakan dengan cara saksama dan dalam tempo yang sesingkat-singkatnya. djakarta, 17 agustus 1945 atas nama bangsa indonesia sukarno-hatta ",86.0,100.0,90.0,92.0
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dll diselenggarakan dengan seksama dan dalam tempo yang sesingkat-singkatnya jakarta hari 17 agustus 1945 soekarno hatta ,73.0,90.0,90.0,84.33333333333333
"proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal-hal yang mengenai pemindahan kekuasaan dll,diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. ",60.0,76.0,75.0,70.33333333333333
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal mengenai pemindahan kekuasaan dan lain-lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya ,56.0,67.0,75.0,66.0
indonesia menyatakan merdeka ,15.0,15.0,10.0,13.333333333333334
kami bangsa indonesia dengan ini menyatakan kemerdekaannya dengan hal-hal yang berkaitan dengan bangsa dan negara dalam tempo yang sesingkat-singkatnya. ,50.0,40.0,50.0,46.666666666666664
kami bangsa indonesia dengan ini menyatakan kemerdekaanya hal - hal yang mengenai pemindahan kekuasaan dan lain- lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat - singkatnya. ,60.0,75.0,75.0,70.0
"kami bangsa menyatakan dengan ini kemerdekaan indonesia, hal-hal yang mengenai pemindahan kekuasaan dan lain-lain diselenggarakan dengan seksama dan dalam tempo yang segingkat singkatnya ",54.0,69.0,75.0,66.0
"proklamasi, kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia, hal hal yang mengenai pemindahan kekuasaan dan lain lain, diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya ",60.0,75.0,75.0,70.0
"-proklamasi -kami bangsa indonesia menyatakan dengan ini kemerdekaannya -hal hal yang mengenai pemindahan kekuasaan dan lain-lain diselenggarakan dengan cara seksama dan dalam tempo sesingkat singkatnya -jakarta,17 agustus 1945 -atas nama bangsa indonesia",78.0,92.0,90.0,86.66666666666667
"proklamasi, kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dan lain lain, diselenggaarakan dengan cara seksama dan dalam tempoh yang sesingkat-singkatnya ",60.0,75.0,75.0,70.0
"proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia, hal hal yang mengenai pemindahan kekuasaan dan lain lain dilakukan dengan cara seksama dan dengan waktu sesingkat singkatnya, ",56.0,64.0,75.0,65.0
kami putra putri bangsa indonesia ,10.0,5.0,10.0,8.333333333333334
proklamasi. kami bangsa indonesia. dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dll. diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. ,60.0,60.0,50.0,56.666666666666664
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dan lain lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. ,60.0,60.0,50.0,56.666666666666664
"proklamasi kami bangsa indonesia, dengan ini menyatakaan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dan lain-lain diselenggarakan. dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. jakarta, 17 agustus 1995 soekarno-hatta ",73.0,80.0,75.0,76.0
"proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal-hal yang mengenai pemindahan kekuasaan dan lain-lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. soekarno-hatta jakarta,17 agustus 1945 ",73.0,82.0,75.0,76.66666666666667
"proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal - hal yang mengenai pemindahan kekuasaan dan lain - lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat - singkatnya. soekarno - hatta. jakarta, 17 agustus 1945 ",73.0,84.0,75.0,77.33333333333333
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan d.l.l.di selenggarakan dengan cara seksama dalam temppo yang sesingkat singkatnya. ,60.0,76.0,75.0,70.33333333333333
"kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal hal yang mengenai pemindahan kekuasaan dll, diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya. ",55.0,67.0,75.0,65.66666666666667
"proklamasi, kami bagsa indonesia dengan ini menyatakan kemerdekaan. untuk urusan lebih lanjut, akan diurus secepatnya. ",30.0,30.0,25.0,28.333333333333332
kami bangsa indonesia menyatakan dengan ini kemerdekaan. hal hal yang mengenai pemindahan kekuasaan dan lain lain. dilakukan dengan cara seksama dan dalam tempo sesingkat singkatnya. jakarta 17 agustus 1945 atas nama bangsa indonesia soekarno-hatta ,70.0,89.0,75.0,78.0
"proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia, hal-hal yang memindai tentang kekuasaan diselesaikan dengan cara segsama dan dalam tempo yang sesingkat-singkatnya jakarta 17 agustus 1945 ",73.0,93.0,75.0,80.33333333333333
"proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia . hal - hal yang mengenai pemindahan kekuasaan dan lain - lain, diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat - singkatnya. jakarta, 17 - 08 - 1945 wakil - wakil bangsa indonesia ",90.0,100.0,90.0,93.33333333333333
"kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dan lain-lain, diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. ",60.0,76.0,75.0,70.33333333333333
proklamasi kami bangsa indonesia menyatakan dengan ini menyatakan kemerdekaan ,30.0,27.0,25.0,27.333333333333332
kami bangsa indonesia menyatakan dengan ini kemerdekaanya hal hal yang berkaitan mengenai pemindahan kekuasaan dan lain lain akan diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya. ,60.0,75.0,75.0,70.0
"kami bangsa indonesia dengan ini menyatakan kemerdekaannya, hal hal mengenai pemindahan kekuasaan dan lain-lain akan diselenggarakan dengan cara seksama dan dalam tempo sesingkat-singkatnya ",60.0,75.0,75.0,70.0
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdrkaan indonesia hal hal yang mengenai pemindahan kekuasaan dan lain lain diselenggarakan dengan cara sesama dan dalam yang sesingkat singkatnya jakarta 17-8-45 wakil bangsa indonesia sukarno-hatta ,88.0,96.0,90.0,91.33333333333333
naskah proklamasi ,5.0,5.0,10.0,6.666666666666667
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaaan diselenggarakan dengan cara seksama dan dalam tempoh yang sesingkat-singkatnya ,63.0,76.0,75.0,71.33333333333333
"kami bangsa indonesia dengan ini menjatakan kemerdekaan indonesia. hal-hal jang mengenai pemindahan kekoeasaan d.l.l., diselenggarakan dengan tjara seksama dan dalam tempo jang sesingkat-singkatnja. djakarta, hari 17 boelan 8 tahoen 05 atas nama bangsa indonesia. soekarno/hatta. ",70.0,86.0,75.0,77.0
"proklamasi kami bangsa indonesia menjatakan dengan ini kemerdekaan indonesia. hal-hal jang mengenai pemindahan kekuasaan d.l.l, diselenggarakan dengan tjara seksama dan dalam tempo jang sesingkat-singkatnja. djakarta, hari 17 boelan 8 tahoen 05 atas nama bangsa indonesia soekarno/hatta ",60.0,78.0,75.0,71.0
"p r o k l a m a s i kami bangsa indonesia dengan ini menjatakan kemerdekaan indonesia. hal-hal jang mengenai pemindahan kekoeasaan d.l.l., diselenggarakan dengan tjara seksama dan dalam tempo jang sesingkat-singkatnja. djakarta, hari 17 boelan 8 tahoen 05 atas nama bangsa indonesia. soekarno/hatta ",60.0,76.0,75.0,70.33333333333333
"proklamasi kami bangsa indonesia menyatakan kemerdekaan indonesia, hal-hal yang mengenai pemindahan kekuasaan dengan seksama dalam toempo yang sesingkat-singkatnnya. ",70.0,80.0,75.0,75.0
"proklamasi kami bangsa indonesia dengan ini menyatakn kemerdekaan indonesia, hal- hal yang mengenai pemindahan kekuasaan dan lain-lain dilakukan dengan cara seksama dan tempo yang sesingkat-singkatnya. ",70.0,80.0,75.0,75.0
"proklamasi, kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia,hal-hal yang mengenai pemindahan kekuasaan dan lain-lain dilakukan dengan cara seksama dan dalam waktu yang sesingkat-singkatnya, jakarta 17 agustus 1945 soekarno hatta. ",80.0,95.0,90.0,88.33333333333333
