Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
"cupcake, donat, eclair, froyo, gingerbread, honeycomb, ice cream sandwich, jelly bean, kitkat, lollipop dan marshmallow ",79.0,95.0,90.0,88.0
"cupcake,doughnat, eclair, froyo, gingerbread, honeycomb, ice cream sandwich, jelly bean. kitkat, lollipop, marshmellow ",79.0,85.0,90.0,84.66666666666667
"donut,eclair,froyo,gingerbread,honeycomb,ice cream sandwitch, jelly bean,kitkat ",93.0,75.0,90.0,86.0
"cupkace, donut, eclair, froyo, gingerbread, honeycomb, ice cream sandwich, jelly bean, kit kat, marshmallow. ",72.0,90.0,90.0,84.0
"gingerbread , ice cream sandwich ",30.0,30.0,25.0,28.333333333333332
"cupcake,donut,eclair ,froyo, gingerbread, honeycomb , ice cream sandwich , jelly bean ,kitkat,lolipop. ",93.0,90.0,90.0,91.0
"cupcake, donut, eclair, froyo, gingerbread, honeycomb, ice cream sandwich, jelly bean, kitkat, lollipop, marshmallow ",84.0,100.0,90.0,91.33333333333333
-cupcake -donut -eclair -froyo -gingerbread -honeycomb -ice cream sandwich -jelly bean -kitkat,93.0,80.0,90.0,87.66666666666667
1. android versi 1.0 (astro) 2. android versi 1.1 (bender) 3. android versi 1.5 (cupcake) 4. android versi 1.6 (donut) 5. android versi 2.0/2.1 (eclair) 6. android versi 2.2 (froyo: frozen yoghurt) 7. android versi 2.3 (gingerbread) 8. android versi 3.0/3.1 (honeycomb) 9. android versi 4.0 (ics: ice cream sandwich) 10. android versi 4.1 (jelly bean) 11. android versi 4.4 (kitkat) 12. android l 5.0 ,50.0,90.0,75.0,71.66666666666667
"2.3 android cupcake, android donut, android eclair, android eclair, android froyo, android gingerbread, android honeycomb, android ice cream sandwich, android jelly bean, android kitkat, android lollipop, android marshmallow ",50.0,100.0,90.0,80.0
"cupcake,donut,eclair,froyo,gingerbread,honetcome,ics,jelly bean,kitkat,lolipop,marsmallow ",60.0,95.0,90.0,81.66666666666667
"cupcake (1.5), donut (1.6), eclair (2.0–2.1), froyo (2.2–2.2.3), gingerbread (2.3–2.3.7), honeycomb (3.0–3.2.6), ice cream sandwich (4.0–4.0.4), jelly bean (4.1–4.3), kitkat (4.4+), dan lolypop (5.0). ",50.0,90.0,90.0,76.66666666666667
"yakni cupcake (1.5), donut (1.6), eclair (2.0–2.1), froyo (2.2–2.2.3), gingerbread (2.3–2.3.7), honeycomb (3.0–3.2.6), ice cream sandwich (4.0–4.0.4), jelly bean (4.1–4.3), dan kitkat (4.4+), android lollipop 5.0, ",50.0,90.0,90.0,76.66666666666667
"donut , eclair , froyo , gingerbread , honeycomb , icecream sandwich , jellybean , kitkat , lollipop , marsmallow ",79.0,95.0,90.0,88.0
"cupcakes, donuts, eclair, froyo, gingerbread, honeycomb, ice cream sandwich, jelly bean, kitkat, lollipop, marshmallow ",84.0,98.0,90.0,90.66666666666667
"cupcake,donat,eclare,foyo,gingerbread,honeycomb,icecreamsandwich,jellybean,kitkat,lolipop,marshmallow ",84.0,88.0,90.0,87.33333333333333
"donut, eclair, froyo, gingerbread, honeycomb, ice cream sandwich, jelly bean, kitkat ",84.0,75.0,90.0,83.0
