Jawaban tanpa Punctuation,Manual 1,Manual 2,Manual 3,Rata Manual
1 mencuci rambut 2 hari sekali 2jangan sering menggunakan hairdryer 3 menggunakan lidah buaya 4 memotong pucukpucuk rambut minimal sebulan sekali 5 mengkonsumsi makanan yang bergizi 6 jangan terlalu berat berfikir 7 istirahat yang cukup 8 memakai shampo yang cocok sesuai kondisi rambut 9 menggunakan vitamin rambut 10 hindari dengan bahan kimia ,25.0,25.0,25.0,25.0
1 rajin mencuci rambut 2 menggunakan sampo yang sesuai dengan kondisi rambut 3 menggunakan handuk yang bersih 4 menggunakan bahan alami untuk perawatan rambut 5 rajin menyisir rambut 6 tidak menggunakan bahan kimia yang berlebihan untuk rambut 7 istirahat yang cukup 8 makan makanan yang bergizi 9 memotong rambut secara rutin 10 menghindari stress ,35.0,50.0,50.0,45.0
1 keramas menggunakan sampo 2 menggunakan hair conditioner 3 tidak memaparkan rambut secara langsung pada matahari secara terus menerus 4 tidur secukupnya 5 jangan menggunakan bahan kimia yang berbahaya 6 jangan terlalu stres 7 menggunakan sisir yang sesuai dengan kontur rambut 8 mengkonsumsi makan yang kaya akan serat 9 membilas rambut dengan air yang bersih 10 jangan mencatok rambut terlalu sering ,35.0,50.0,50.0,45.0
creambathsmootingshampokeramasmandi extract lidah buayaextract kulit manggisextract orang aringtidur secukupnyaberfikir seperlunyamengurangi makan mengandung lemakberjemur pada pagi hari ,10.0,20.0,25.0,18.333333333333332
menggunakan shampo yang sesuai dengan kulit kepala kita kemudian menggunakan conditioner untuk melembabkan kulit kepala kemudian menggunakan vitamin rambut untuk melembabkan dan menutrisi rambut agar rambut tidak mudah kering dan rusak menggunakan minyak rambut untuk merelaksasikan kulit kepala menggunakan masker rambut agar rambut mudah diatur menggunakan hair spray untuk menyegarkan rambut menggunakan bahan alami seperti lidah buaya agar rambut terlihat lebih lebat dan mengembang menggunakan bahan alami seperti minyak kemiri untuk membuat rambut terlihat hitam alami melakukan perawatan seperti creambat agar rambut terlihat lebih sehat merawat rambut dengan memperbanyak minum air putih ,60.0,50.0,50.0,53.333333333333336
keramasi rambut jika rambut terasa lepek pakai madu agar menjaga kelembaban rambut pakai minyak zaitun agar rambut tidak rontok seringseringlah pakai hairmask rambut agar tetap sehat potong rambut jika rambut bercabang beri tonic setelah keramas pakai lidah buaya agar rambut tetap hitam dan lebat setelah keramas pakailah conditioner secukupnya pakai treatment setelah conditioner jangan sering pakai pelurus rambut agar tidak cepat rusak lakukan pengeringan rambut secara alami ,43.0,35.0,50.0,42.666666666666664
keramasi rambut jika rambut terasa lepek pakai madu agar menjaga kelembaban rambut pakai minyak zaitun agar rambut tidak rontok seringseringlah pakai hairmask rambut agar tetap sehat potong rambut jika rambut bercabang beri tonic setelah keramas pakai lidah buaya agar rambut tetap hitam dan lebat setelah keramas pakailah conditioner secukupnya pakai treatment setelah conditioner jangan sering pakai pelurus rambut agar tidak cepat rusak lakukan pengeringan rambut secara alami ,43.0,35.0,50.0,42.666666666666664
keramas memakai kondisioner memakai masker rambut treatment ke salon secara rutin memakai ekstrak lidah buaya rajin memakai vitamin hindari matahari secara langsung tidak sering mengikat rambut menggunakan pewarna rambut yang aman untuk tubuh sering memotong rambut agar tidak bercabang ,50.0,44.0,50.0,48.0
keramas dengan teratur gunakan minyak kemiri rajin menyisir rambut gunakan masker lidah buaya campur dengan yoghurt condisioner creambath hindari hairspray mewarnai rambut dan terik matahari ,35.0,30.0,25.0,30.0
lidah buaya tidak mengikat rambut terlalu lama vitamin serum tidak terlalu banyak keramas minyak kelapa conditioner tidak terlalu banyak catok membiarkan rambut tertutup saat basah tidak mengecat rambut shampo yang mengandung bahan alami ,30.0,32.0,25.0,29.0
merawat dengan bahan alami ,8.0,5.0,10.0,7.666666666666667
memakai shampo menggunakan lidah buaya tidak memakai minyak rambut memakai vitamin rambut potong rambut jika panjang merawat rambut tidak memakai foam olahraga tidur yang cukup mandi setiap hari ,25.0,20.0,25.0,23.333333333333332
1 dengan menggunakan shampoo yang bagus 2 menggunakan vitamin rambut 3 menggunakan lidah buaya sebagai vitamin rambut alami 4 menggunakan kondisioner rambut secara teratur 5 melakukan perawatan ke salon 6 menggunakan teknik keramas yang baik dan benar 7 seringsering periksa ke dokter kulit ,40.0,33.0,25.0,32.666666666666664
shampoolidah buaya ,5.0,5.0,10.0,6.666666666666667
memakai barang yang halal keramas dengan teratur saat keramas kepala dipijit perlahan pilih yang sesuai dengan rambut anda agar tidak mengalami kerontokan jangan menggunakan selain sampo jika tidak ada sampo jangan dibakar biar tidak rusak berilah cairan protein rambut jangan lupa baca doa dan bismillah dalam melakukan hal apapun ,15.0,30.0,25.0,23.333333333333332
keramas memberikan vitamin ,10.0,8.0,10.0,9.333333333333334
keramas menyisir kondisioner creambath memberi minyak memberi vitamin rambut spa rambut memotong rambut bercabang memberi urang aring lidah buaya minyak kemiri ,35.0,30.0,25.0,30.0
mencukur keramas memberi conditioner melakukan smooting  krimbat diberi madu  vitamin rambut  menyisir spa rambut  dikipasi ,25.0,25.0,25.0,25.0
rajin keramasmencukurmenyisirmemakai condisionermelakukan smoothingminum multivitamincreambathspa rambuttidak menyemir rambut ,25.0,33.0,25.0,27.666666666666668
cuci rambut creambat toning ,20.0,18.0,25.0,21.0
keramas tiap hari mandi musti keramas selalu menggunakan conditioner ,15.0,8.0,10.0,11.0
krimbat shampo kramas minyak rambut spa salon rebonding menjaga kelembaban hair dryer potong rambut ,10.0,10.0,10.0,10.0
1 menggunakan vitamin rambut 2 keramas setiap 2x sehari 3 melakukan perawatan rambut 4 creambath 5 hairspa 6 gunakan lidah buaya untuk memperkuat rambut 7 minyak kemiri untuk menghitamkan rambut ,40.0,29.0,25.0,31.333333333333332
keramas mbakkk ,5.0,5.0,10.0,6.666666666666667
