Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
komputer serangkaian sekelompok mesin elektronik ribuan jutaan komponen membentuk sistem kerja rapi teliti sistem melaksanakan serangkaian pekerjaan otomatis berdasar urutan instruksi program,60.0,95.0,75.0,76.66666666666667
komputer mesin penghitung,10.0,15.0,10.0,11.666666666666666
mesin membantu manusia menjalankan segara pekerjaan,30.0,20.0,25.0,25.0
komputer alat komputasi diciptakan menghitung kali,12.0,10.0,10.0,10.666666666666666
alat memudahkan masnusia,14.0,10.0,10.0,11.333333333333334
komputer alat dipakai mengolah data prosedur dirumuskan computer menggambarkan orang perkerjaannya perhitungan aritmatika alat bantu arti dipindahkan mesin pengolahan informasi eksklusif berhubungan aritmetika komputer modern dipakai tugas berhubungan matematika,20.0,30.0,25.0,25.0
komputer alat mengolah data perhitungan aritmatika pekerjaan memudahkan manusia,40.0,40.0,50.0,43.333333333333336
komputer alat dipakai mengolah data prosedur dirumuskan computer menggambarkan orang perkerjaannya perhitungan aritmatika alat bantu arti dipindahkan mesin,28.0,35.0,25.0,29.333333333333332
komputer alat dipakai mengolah data prosedur dirumuskan computer menggambarkan orang perkerjaannya perhitungan aritmatika alat bantu arti dipindahkan mesin,28.0,35.0,25.0,29.333333333333332
komputer serangkaian sekelompok mesin elektronik ribuan jutaan komponen membentuk sistem kerja rapi teliti sistem melaksanakan serangkaian pekerjaan otomatis berdasar urutan instruksi program,60.0,70.0,50.0,60.0
komputer alat dipakai mengolah data prosedur dirumuskan komputer menggambarkan orang perkerjaannya perhitungan aritmatika alat bantu arti dipindahkan mesin,28.0,40.0,50.0,39.333333333333336
alat dipakai mengolah data prosedur dirumuskan,30.0,20.0,25.0,25.0
komputer barang elektronik pintar dikembangkan fitur komponen tambahan disatu padukan bentuk,18.0,15.0,25.0,19.333333333333332
komputer alat dipakai mengolah data prosedur dirumuskan computer menggambarkan orang perkerjaannya perhitungan aritmatika alat bantu arti dipindahkan mesin,28.0,40.0,25.0,31.0
alat bantu mempermudah pekerjaan manusia,33.0,25.0,25.0,27.666666666666668
komputer alat mempermudah manusia aktivitas shari,30.0,30.0,25.0,28.333333333333332
komputer perangkat keperluan fungsi komputer dasarnya komputer alat berhitung mengolah informasi komputer menerima inputan perangkat inputan keyboard mouse mengeluarkan hasil perangkat output printer monitor,20.0,40.0,25.0,28.333333333333332
serangkaian sekelompok mesin elektronik ratusan komponen,35.0,35.0,25.0,31.666666666666668
komputer serangkaian sekelompok mesin elektronik ribuan jutaan komponen membentuk sistem kerja rapi teliti sistem melaksanakan serangkaian pekerjaan otomatis berdasar urutan instruksi program,60.0,70.0,50.0,60.0
alat membantu manusia pekerjaan,30.0,20.0,25.0,25.0
komputer alat dipakai mengolah data prosedur dirumuskan computer menggambarkan orang perkerjaannya perhitungan aritmatika alat bantu arti dipindahkan mesin,30.0,35.0,25.0,30.0
komputer 13 kalimat,8.0,0.0,10.0,6.0
komputer alat mengolah data prosedur dirumuskan komputer komputer membantu perhitungan aritmetika pengolahan informasi,35.0,35.0,25.0,31.666666666666668
mesin mengerti,4.0,2.0,10.0,5.333333333333333
komputer alat pengolah data prosedur rumuskan,30.0,20.0,25.0,25.0
komputer alat elektronik memiliki komputasi spesifikasi windows 10 kerjaan kantor bermain game menonton film,25.0,15.0,25.0,21.666666666666668
komputer alat bantu hitung manusia dikembangkan membantu tugas manusia,29.0,35.0,25.0,29.666666666666668
alat elektronik menghitung menganalisa data cepat cermat menjalankan aplikasi multimedia,17.0,20.0,25.0,20.666666666666668
alat dipakai mengelola data,12.0,10.0,10.0,10.666666666666666
alat dipakai mengolah data prosedur dirumuskan computer menggambarkan orang perkerjaannya perhitungan aritmatika alat bantu arti dipindahkan mesin pengolahan informasi eksklusif berhubungan aritmetika komputer modern dipakai tugas berhubungan matematika,28.0,40.0,50.0,39.333333333333336
komputer mesin hitung memudahkan pekerjaan manusia komputer bermain game mendengarkan musik dll,29.0,25.0,25.0,26.333333333333332
komputer mesin hitung komputer mengolah data menggunakn mesin komputer berkembang pesat,17.0,20.0,25.0,20.666666666666668
komputer alat dipakai mengolah data prosedur dirumuskan computer menggambarkan orang perkerjaannya perhitungan aritmatika alat bantu arti dipindahkan mesin pengolahan informasi eksklusif berhubungan aritmetika komputer modern dipakai tugas berhubungan matematika,33.0,40.0,50.0,41.0
alat dipakai mengolah data prosedur dirumuskan dimana komputer perangkat elektronik komponen membentuk sistem kerja menjalankan pekerjaan otomatis berdasar urutan instruksi program menghasilkan informasi berdasarkan program data,28.0,35.0,25.0,29.333333333333332
komputer sekumpulan alat elektronik dimana terkoordinasi dibawah kontrol program kemampuan menerima data mengolah data,30.0,30.0,25.0,28.333333333333332
komputer alat dipakai mengolah data prosedur dirumuskan computer menggambarkan orang perkerjaannya perhitungan aritmatika alat bantu arti dipindahkan mesin,28.0,35.0,25.0,29.333333333333332
komputer alat dipakai mengolah data prosedur dirumuskan computer menggambarkan orang perkerjaannya perhitungan aritmatika alat bantu arti dipindahkan mesin pengolahan informasi eksklusif berhubungan aritmetika komputer modern dipakai tugas berhubungan matematika,25.0,45.0,50.0,40.0
komputer alat dipakai mengolah data prosedur dirumuskan,30.0,25.0,25.0,26.666666666666668
alat dipakai mengolah data prosedur dirumuskan computer menggambarkan orang perkerjaannya perhitungan aritmatika alat bantu arti dipindahkan mesin,25.0,35.0,25.0,28.333333333333332
menerima mengolah informasi,5.0,7.0,10.0,7.333333333333333
menerima mengolah data,5.0,3.0,10.0,6.0
komputer alat manipulasi data komputer berisi hardware software brainware,10.0,15.0,10.0,11.666666666666666
komputer mesin berfungsi mempermudah pekerjaan manusia mesin ketik komputer bahasa mesin,31.0,20.0,25.0,25.333333333333332
mesin pegolah,5.0,4.0,10.0,6.333333333333333
komputer hardware yg berfungsi membantu manusia,20.0,20.0,25.0,21.666666666666668
alat mempermudah pekerjaan manusia alat mempersingkat pekerjaan,22.0,20.0,25.0,22.333333333333332
komputer alat bantu manusia mempermudah pekerjaan manusia,30.0,20.0,25.0,25.0
