Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
fikiran mempengaruhi kondisi tubuh,28.0,25.0,25.0,26.0
berpikir positif kesehatan karna jiwa positif melahirkan raga sehat,30.0,35.0,25.0,30.0
menyebabkan kondisi positif jiwa,22.0,20.0,25.0,22.333333333333332
berfikir bijaksana menghindari hidup merugukan,19.0,15.0,25.0,19.666666666666668
berfikir positif manusia berfikir kesehatannya mendorong individu pola hidup sehat harinya,35.0,30.0,25.0,30.0
makanmakanan bergiziolahraga,5.0,5.0,10.0,6.666666666666667
makanmakanan bergiziolahraga,5.0,5.0,10.0,6.666666666666667
denga berfikir positif tubuh berusaha menjalani pola hidup sehat memberatkan kondisi tubuh,46.0,30.0,50.0,42.0
berfikir positif jiwa bahagia,22.0,25.0,25.0,24.0
menilai pola sikap pemikiran shortcut bunyi observasi data pengujian berbeda pola pemikiran 5 abad masyarakat memiliki knowledge patologi pemikiran sengaja batasi mengeksplor mendalam fenomenafenomena alam source of knowledge penghalang terbesar kemajuan pendidikan teknologi bangsa berimplikasi tumbuhnya kultur bangsa cenderung bangsa pengguna customerconsumer produk producer inventor dna kehidupan,40.0,30.0,50.0,40.0
berpikir,12.0,5.0,10.0,9.0
berfikir positif tenang syaraf tegang stress sehat,35.0,30.0,25.0,30.0
berfikir positif membawa dampak positif orang,28.0,25.0,25.0,26.0
berpikir sehat,15.0,15.0,10.0,13.333333333333334
,0.0,0.0,0.0,1.0
berfikir negatif,12.0,10.0,10.0,10.666666666666666
berhubungan hidup sehat fikiran sehat,18.0,20.0,25.0,21.0
berpikir positif belajar hidup sehat,22.0,30.0,25.0,25.666666666666668
salah hidup sehat menjaga pola pikir positif fikiran resah gelisah beban fikiran bertambah berat,34.0,25.0,25.0,28.0
berfikir positif,15.0,20.0,25.0,20.0
mempengaruhi pandang menganggap pola hidup positif membosankan,20.0,15.0,25.0,20.0
olahraga fitnes makan makanan begizi,10.0,10.0,10.0,10.0
1 olahraga teratur 2 makan makanan sehat,10.0,10.0,10.0,10.0
pokok ngopi sek,0.0,0.0,0.0,1.0
