Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
1 ketuhanan 2 kemanusiaan 3 persatuan 4 kerakyatan 5 keadilan,40.0,50.0,50.0,46.666666666666664
1 ketuhanan 2 keadilan 3 kemanusiaan 4 kesejahteraan 5 persatuan,40.0,40.0,50.0,43.333333333333336
ketuhanan maha esa keadilan rakyat indonesia persatuan indonesia keadilan rakyat indonesia,70.0,25.0,25.0,40.0
1 ketuhanan maha esa 2 kerakyatan adil beradab 3 persatuan indonesia 4 kesejahteraan pimpim hikmat kebijaksanaan permusyawaratan perwakilan 5 keadilan sosial rakyat indonesia,90.0,90.0,90.0,90.0
1 ketuhanan maha esa 2 kemanusiaan adil 3 persatuan indonesia 4 kerakyatan dipimpin hikmat kebijaksanaan permusyawaratan perwakilan 5 keadilan rakyat indonesia,90.0,100.0,100.0,96.66666666666667
ketuhanan maha esa kemanusiaan adil beradab persatuan indonesia kerakyatan dipimpin hikmat kebikjasanaan permusyarawatan perwakilan keadilan sosial rakyat indonesia,95.0,100.0,100.0,98.33333333333333
ketuhanan maha esa kemanusiaan adil beradab persatuan indonesia kerakyatan dipimpin hikmat kebijaksanaan permusyawaratan perwakilan keadilan sosial rakyat indonesia,100.0,100.0,100.0,100.0
1ketuhanan maha esa 2kemanusiaan adil beradab 3persatuan indonesia 4kerakyatan dipimpin hikmat kebijaksanaan permusyawaratan perwakilan 5keadilan sosial rakyat indonesia,90.0,100.0,100.0,96.66666666666667
1ketuhanan maha esa 2kemanusiaan adil beradap 3persatuan indonesia 4kerakyatan dipimpin hikmat kebijaksanaan permusyawaratan perwakilan 5keadilan sosial rakyat indonesia,90.0,100.0,100.0,96.66666666666667
1 ketuhanan maha esa 2 kemanusiaan adil beradab 3 persatuan indonesia 4 kerakyatan dipimpin hikmat kebijaksanaan permusyawaratanperwakilan 5 keadilan sosial rakyat indonesia,90.0,100.0,100.0,96.66666666666667
ketuhanan maha esa kemanusiaan adil beradab persatuan indonesia kerakyatan dipimpin hikmat kebijaksanaan permusyawaratan perwakilan keadilan sosial rakyat indonesia,100.0,100.0,100.0,100.0
ketuhanan maha esa kemanusiaan adil beradab persatuan indonesia kerakyatan dipimpin hikmat kebijaksanaan permusyawaratanperwakilan keadilan sosial rakyat indonesia,100.0,100.0,100.0,100.0
ketuhanan maha esa kemanusiaan adil beradap kesatuan indonsia kerakyatan dipimpin hikmat kebijaksanaan kemanusiaan,65.0,69.0,75.0,69.66666666666667
1 ketuhanan maha esa 2 kemanusiaan adil beradab 3 persatuan indonesia 4 kerakyatan dipimpin hikmat kebijaksanaan permusyawaratanperwakilan 5 keadilan sosial rakyat indonesia,90.0,100.0,100.0,96.66666666666667
ketuhanan maha esa kemanusiaan adil beradab persatuan indonesia kerakyatan dipimpin hikmat kebijaksaan permusyawaratan perwakilan keadilan sosial rakyat indonesia,100.0,100.0,100.0,100.0
ketuhanan kemanusiaan keadilan kerakyatan persatuan,30.0,40.0,50.0,40.0
ketuhanan maha esa kemanusiaan adil beradab persatuan indonesia kerakyatan dipimpin hikmat kebijaksanaan permusyawaratan perwakilan keadilan rakyat indonesia,100.0,100.0,100.0,100.0
ketuhanan maha esa kemanusiaan adil berapat persatuan indonesia kerakyatan pimpin hikmat kebijaksaaan permusyawaratanperwakilan keadilan sosial rakyat indonesia,95.0,100.0,100.0,98.33333333333333
1 ketuhanan maha esa 2 kemanusiaan adil beradab 3 persatuan indonesia 4 kerakyatan dipimpin hikmat kebijaksanaan permusyawaratan perwakilan 5 keadilan sosial rakyat indonesia,90.0,100.0,100.0,96.66666666666667
